onescience_id,Embargo
fbc2481f9475115ee17062969666b91bbdd920e7,12 month embargo
ae6ffbf9dc9242aa589487c3335d9532f20bcb02,12 month embargo
2cd96ff50b066d5b3306154e1b97d153ec358287,12 month embargo
74f9b83fe303f7b529d202047f6025d4e5eca22e,12 month embargo
e0973b1c92a42e4fadaa5c5680141cddf4b80f5f,12 month embargo
055d1231566ba03247331973393e63c13f64ca5c,12 month embargo
435a5fc08f7ec04e0629b45102ccf3868d13b77a,12 month embargo
2c323856bf277882bf9c9bfca77f8bba5437b965,12 month embargo
75940ebb29578d7598ece820843aa396f677e69c,12 month embargo
609ebe0d8b76dad4681e66db3ad66c9d822066b8,12 month embargo
30fde437deb7b7611b6a128b1753c5b7478828de,48 month embargo
ed9dd6f1eea974a1627bd01aa5a3c239a1154bf0,48 month embargo
0098039ec4c2b33df47f221ceaff64add21fe3c0,48 month embargo
c43999d5132b616c5c32f5e576acd371ecde4150,48 month embargo
8d7dce2e1de5911b0ccc47970c1745d7d2253a49,6 month embargo
7ed3cb2bc2baab38b2622d04790bfe46c3f8dfc3,6 month embargo
302af5d0089dc468c68d932655bc3478e0dd28b0,12 month embargo
089d8988e8893ebff83574c362c310b3fb4e0d27,48 month embargo
eab90814bf38d2c966470ff84993b020ad34dc83,48 month embargo
f6337e58ef4bb99f12d098a8cd88e9e4d6a3e49d,48 month embargo
a248b3e4870504d669d1fb459e27be35ae58bc0a,48 month embargo
6277c94937413ff5ce1df443b8db8bc7ba35cd8c,12 month embargo
2e8af9f5ff1c304220fabf51ccb9fd4da8200cbb,12 month embargo
0b8b13376c3663f40e13ebc5ab02a894c952c81f,12 month embargo
bcba4c3ee60e654619defc2a9500272c0c82aa8d,12 month embargo
5c3aff3e7f0abe8b16c5e85018bfbc1ec0f7f530,12 month embargo
975f068ab1cb5a12c4e540b23c144eff3bd5b398,12 month embargo
07e048d84d5211845aadc68160777eb33cf42d78,48 month embargo
d0258d9c1081751ca1fde8e360e82140f9b44b30,48 month embargo
b37757736fe91bffe7f0dcc6588eb2557593d669,48 month embargo
cf3359ed8e51338dd6ae4362416bae0d31617e50,12 month embargo
d431d9b622773b49a88b524d427b1f75d70e448f,12 month embargo
3326337307ff5c3fe4dc2c7c844eadc9ee79e6fc,12 month embargo
9ae7a42b2b36efb95ade6c8d7725020a7de4b415,12 month embargo
bef63d0a3f5d5a6781817875a4b55d21bcef59e4,12 month embargo
d25913f9469eb457a2cfff5c26df4e8146c3df6f,12 month embargo
af619ab5a7555d07aebaa3b48b619c18ce7e8cc7,48 month embargo
f278a7d06d3e250dcbe36282100002f6d6e520e0,12 month embargo
721d15e55e9226a0bf8892281b96b2858e511ddf,12 month embargo
a4700ccbfa071e893ddbd9d4d9ba0699b58c4f4c,12 month embargo
496f72e0274d5470872eade9c2e0f887a8ce2c8a,12 month embargo
afbe2b9cc987c7bb87054e82d5690f1c0cc79b3a,12 month embargo
ead2529fd5ead1a8530e55c3928005db4f9f6435,12 month embargo
583d8f98c597a911ed635e2e684984d502bcc95b,12 month embargo
7f55a9e8c7d67b1de9cb1980716719fa46d02378,12 month embargo
77e3f65150cc5446aa7ea399941b5662115e02bc,12 month embargo
538356d637c7274262073508c15ef962b9ebadaf,12 month embargo
5fe1b4fd5598272df979f3c3e51c2fcb8ad89a9f,12 month embargo
8a5e8a45bfb034a5f5e8d496d6735e8f5613da4d,12 month embargo
7fb5007464321d3bc6ef1200f39bbb59dcfb3913,12 month embargo
e408024d4dabc2156d46b870e2df810eda496b03,12 month embargo
4d2d5885dd61cef9642056a33bab7a74c67af84f,12 month embargo
7541b3ce48c8db50e422a784628f046baff89a97,12 month embargo
c9fca8a4ae27647444e93009773dd07fa255b181,12 month embargo
c8d141fe23e6a56f44cbc8ea03d71168d59bb171,12 month embargo
66a97be8f8df40782d875eee10493ca3287b6269,12 month embargo
edd7b6b621a36ef1dee652cc364d2d9bb9b6961e,12 month embargo
b1d0275b7ade8b08984daacb2d8346884dd22780,12 month embargo
1f82140ec65edfa2d045d01c3b7c8fc62f86f661,12 month embargo
fd0b7db706883c48a3ae17ae6e4097803396ce7d,12 month embargo
1351f9b35407f5d2c1f92adcb64af7eb31c94513,12 month embargo
d3fab64281c1c1762ffc6346d49da5bea27118cc,12 month embargo
759c61edbac3eaab8ab883466cf68f418c1748fd,12 month embargo
6d1b70555edff30cb5312b586eda7695dc4f0278,12 month embargo
dbb7824c21d3a3a98868752ec08cc66356e13cf3,12 month embargo
5b80d9b0b2f84cc1dbd0b7c97b85e5730badae2a,12 month embargo
ea619febf4b85a0dc8cbd6684c59af24df516bac,12 month embargo
336a46f92b0755d3f4b4bcc7b5b2ac6d62f32058,12 month embargo
a9c95708be9e9bc286fd0d72966332f01c8bd236,12 month embargo
da2870926f351712371862d33010d906a8a34276,12 month embargo
dba8f02f1a4544f49956da88455805bfe5b89ceb,12 month embargo
40f6661ae81bb30f813b2686aba2372506f2468d,12 month embargo
f509cd094265c28e941192f6e081a06b82574cfc,12 month embargo
2daf1d548411608260c6571d2f45a115f0eeae4e,12 month embargo
6c3fbe659d8e0d53f415d616bbc96785f381f3e1,12 month embargo
7aecf36a5a3ef0562d724595d0ba3e41e467b8aa,12 month embargo
b76da61df6e510078a18e4bfd3a6be7a234536a5,12 month embargo
982b54dbea6ea3675699ab72ffc5aa05e9f22d10,12 month embargo
244539001821e79f5ab3a6acdf632ba3e3445111,12 month embargo
620c8d3010baa5c4c128d2ec508130e2432d9f8e,12 month embargo
1abc382fca3dfe56ca3afbb4b43dd6e4927c3fdc,12 month embargo
7672c6e8070e2fc9cd5d7eb86fabe3db676bd2a9,12 month embargo
ca7ac594e60b55b9b249b5a6792a8cea7bfe05fd,12 month embargo
e2bbef9ef3f95663e6359711b5bb60b2ab690763,12 month embargo
eab42a46b84a80e8f2b6f2568082d7bbc5927492,12 month embargo
e3c1894ec6d89cfa5cbba0227d732091086b3f24,12 month embargo
4fa31cd53b318ee5d9171110be1829d66d713bba,48 month embargo
ae0cff0a2ed9fda284d61e83292a7677c6069395,48 month embargo
4c7f455563251509096884de8a8430d8d5c6637f,48 month embargo
e552224171783c529bf6ff3cf2d56a8525a93342,48 month embargo
7e62ce60f76816f2d17a354921d9e0bda5e6531b,48 month embargo
7d6190748932975d661c3792bde2ea7037ce9ba6,48 month embargo
141f9c1be340ca4202da1cef80ceb9c24a970913,12 month embargo
36e69403ff353bc2c5907555efeb614b644d90cf,12 month embargo
d3cfb0b4e5ffcb59b6581c402dae420c66d02c8c,12 month embargo
40d45e2f8f072e54d2378dfd9bcfe78549788cc3,12 month embargo
a36114e21d25fdec2c7e2545bd08b2146b88f18a,12 month embargo
d2289af481f6a47094b1bf093ee06151d613d982,12 month embargo
4c6bd2cad4cdbfbcc313ed2614943f891b1299fc,12 month embargo
66678526e38146488472426a482b59c010c50b0f,12 month embargo
79d2452e07b0c2eaef48b977ae358b2a8afd8fc5,12 month embargo
161df01ec70c4d6300cfb39bf8897a47345d931f,12 month embargo
bffef2066dd43a55c2160fb55695f885eddde49b,12 month embargo
